lon;lat;m_name;address;m_type;sq_km_id
37.6355;55.7375;Опытный завод «Авиаль» («ОЗА»);Москва, ул Большая Татарская, д.35, стр.3;"Машиностроение и металлообработка    (Производители проволоки)";5471
37.5292;55.944;Чистая линия;Московская область, г. Долгопрудный, ул. Виноградная, д.9, стр.В;"Молочные заводы    (Пищевая и с/х промышленность)";7349
37.7513;55.7399;Московский локомотиворемонтный завод (Московский ЛРЗ);Москва, Перовское шоссе, 43;"Вагоноремонтные заводы    (Транспорт и спецтехника)";5479
37.7579;55.7265;Центральный ремонтно–механический завод (ЦРМЗ);Москва, Рязанский пр-т, д. 10;"Ремонтные заводы    (Машиностроение и металлообработка)";5316
37.514;55.833;Московская фармацевтическая фабрика (МосФарма);г.Москва, Фармацевтический проезд, дом 1;"Фармацевтические фабрики    (Медицинская промышленность)";6282
37.6581;55.7865;Кондитерский концерн Бабаевский (Бабаевский);г. Москва, ул. Малая Красносельская, 7;"Кондитерские фабрики    (Пищевая и с/х промышленность)";5882
37.7783;55.8146;Научно-производственное предприятие «Спецкабель» (НПП «Спецкабель»);ул. Бирюсинка, дом 6, корпус 1-5, Москва;"Кабельные заводы    (Машиностроение и металлообработка)";6137
37.6642;55.7349;Часовое Производство Полёт-Хронос;Москва, Марксистская, 34, к.5;"Часовые заводы    (Прочие промышленные производства)";5391
37.6518;55.7728;Швейная фабрика Большевичка (Большевичка);Москва, ул. Каланчевская, 17;"Швейные фабрики    (Легкая промышленность)";5800
37.5627;55.8045;«Машиностроительное конструкторское бюро «Искра» имени Ивана Ивановича Картукова» («МКБ «Искра»);г. Москва, Петровско-Разумовский проезд, дом 28;"Моторные заводы    (Машиностроение и металлообработка)";6040
37.6574;55.6079;«Завод «ОГОНЕК»;г. Москва, 6-я Радиальная ул., д. 62, стр. 1;"Фабрики игрушек    (Легкая промышленность)";4242
